2026-07-11 09:15:23 | T1001 | A10025 | TRANSFER | 850.00 | Brisbane | APPROVED
2026-07-11 09:18:40 | T1002 | A10025 | TRANSFER | 6500.00 | Brisbane | APPROVED
2026-07-11 09:20:12 | T1003 | A10025 | ONLINE_PURCHASE | 120.00 | Sydney | DECLINED
2026-07-11 09:22:05 | T1004 | A20318 | CASH_WITHDRAWAL | 500.00 | Gold Coast | APPROVED
2026-07-11 10:00:00 | T1005 | A30099 | ONLINE_PURCHASE | 45.00 | Brisbane | DECLINED
2026-07-11 10:05:00 | T1006 | A30099 | ONLINE_PURCHASE | 60.00 | Brisbane | DECLINED
2026-07-11 10:12:00 | T1007 | A30099 | CARD_PAYMENT | 30.00 | Brisbane | DECLINED
2026-07-11 10:20:00 | T1008 | A30099 | CARD_PAYMENT | 25.00 | Brisbane | DECLINED
2026-07-11 14:00:00 | T1009 | A30099 | TRANSFER | 200.00 | Brisbane | APPROVED
2026-07-11 08:00:00 | T1010 | A40077 | CARD_PAYMENT | 75.00 | Brisbane | APPROVED
2026-07-11 11:00:00 | T1011 | A40077 | CARD_PAYMENT | 95.00 | Sydney | APPROVED
2026-07-11 16:30:00 | T1012 | A40077 | CASH_WITHDRAWAL | 300.00 | Gold Coast | APPROVED
2026-07-11 09:00:00 | T1013 | A50000 | DIRECT_DEBIT | 40.00 | Maroochydore | APPROVED
2026-07-11 15:00:00 | T1014 | A50000 | DIRECT_DEBIT | 55.00 | Maroochydore | APPROVED
2026-07-11 18:00:00 | T1015 | A50000 | CARD_PAYMENT | 22.50 | Maroochydore | APPROVED
2026-07-11 09:00:00 | T1016 | A60000 | ONLINE_PURCHASE | 15.00 | Sydney | DECLINED
2026-07-11 12:00:00 | T1017 | A60000 | ONLINE_PURCHASE | 18.00 | Sydney | DECLINED
2026-07-11 15:00:00 | T1018 | A60000 | ONLINE_PURCHASE | 12.00 | Sydney | DECLINED
2026-07-11 18:00:00 | T1019 | A60000 | ONLINE_PURCHASE | 20.00 | Sydney | DECLINED
2026-07-11 20:00:00 | T1020 | A60000 | TRANSFER | 100.00 | Sydney | APPROVED
2026-07-11 09:30:00 | T1021 | A70001 | BITCOIN_PURCHASE | 100.00 | Brisbane | APPROVED
2026-07-11 09:31:00 | T1022 | A70002 | CARD_PAYMENT | -50.00 | Brisbane | APPROVED
2026-07-11 09:32:00 | T1023 | A70003 | CARD_PAYMENT | abc | Brisbane | APPROVED
2026-07-11 09:33:00 | T1024 | A70004 | CARD_PAYMENT | 100.00 | Brisbane | UNKNOWN
2026-07-11 09:34:00 | T1025 | A70005 | CARD_PAYMENT | 100.00 | Brisbane
2026-07-11 09:35:00 | T1026 |  A70006 | CARD_PAYMENT | 100.00 | Brisbane | APPROVED
2026-07-11 09:40:00 | T1001 | A10025 | TRANSFER | 200.00 | Brisbane | APPROVED
